pid,report_type,npc1_ground_truth,npc1_reconstruction,npc2_ground_truth,npc2_reconstruction,npc3_ground_truth,npc3_reconstruction,npc4_ground_truth,npc4_reconstruction,npc5_ground_truth,npc5_reconstruction,total_diff
ari_test,user,0,241,97,241,0,241,0,241,0,130,-997.0
ari_test,generated,0,241,97,241,0,241,0,241,0,130,-997.0
ari_test,hybrid,0,241,97,241,0,241,0,241,0,130,-997.0
himanshu_test,user,0,242,0,241,0,242,0,242,0,242,-1209.0
himanshu_test,generated,0,242,0,96,0,242,0,242,0,242,-1064.0
himanshu_test,hybrid,0,242,0,96,0,242,0,242,0,242,-1064.0
shiv_test,user,0,240,96,240,0,227,0,227,0,227,-1065.0
shiv_test,generated,0,116,96,97,0,144,0,227,0,136,-624.0
shiv_test,hybrid,0,240,96,240,0,144,0,227,0,136,-891.0
ys_pilot,user,0,242,66,242,0,242,0,230,0,242,-1132.0
ys_pilot,generated,0,242,66,242,0,242,0,32,0,242,-934.0
ys_pilot,hybrid,0,242,66,242,0,242,0,0,0,242,-902.0
